"SN","MOVIES","VOTES","RATING","GROSS"
"137","Fatal Attraction","79936","6.9","156650000"
"138","Dreamgirls","70985","6.5","103370000"
"139","Smokin' Aces","140790","6.7","35660000"
"140","Serenity","38364","5.4","8550000"
"141","Hotel Transylvania 3: Summer Vacation","62255","6.3","167510000"
"142","Triple 9","69234","6.3","12630000"
"143","Easy Rider","104511","7.3","41730000"
"144","A Walk to Remember","203383","7.3","41230000"
"145","Lilo & Stitch","175052","7.3","145790000"
"146","Operation Finale","36593","6.6","17610000"
"147","Locke","140930","7.1","1360000"
"148","A Cinderella Story","82876","5.9","51440000"
"149","Escape Plan","233030","6.7","25130000"
"150","Life of Brian","378134","8.1","20050000"
"151","Colombiana","97146","6.4","36670000"
"152","Resident Evil: The Final Chapter","87437","5.5","26830000"
"153","Dirty Grandpa","117026","5.9","35590000"
"154","Late Night","33065","6.5","15500000"
"155","The Duff","86929","6.5","34020000"
"156","You're Next","92232","6.6","18470000"
"157","The Lincoln Lawyer","222054","7.3","58010000"
"158","Pixels","135509","5.5","78750000"
"159","The Ten Commandments","66532","7.9","93740000"
"160","Live by Night","54010","6.4","10380000"
"161","Sabotage","61545","5.7","10510000"
"162","Despicable Me 2","377936","7.3","368060000"
"163","Oz the Great and Powerful","201707","6.3","234910000"
"164","CHIPS","44487","6","18600000"
"165","Taken 3","183595","6","89260000"
"166","Out of the Furnace","110076","6.8","11330000"
"167","Noah","247033","5.7","101200000"
"168","Takers","59882","6.2","57740000"
"169","Lord of War","300344","7.6","24150000"
"170","Blue Jasmine","195580","7.3","33409999"
"171","The Expendables 2","296948","6.6","85020000"
"172","Conan the Barbarian","96638","5.2","21300000"
"173","Battle of Britain","21366","7","4360000"
"174","Begin Again","147794","7.4","16170000"
"175","The Invitation","100313","6.6","230000"
"176","Flashdance","49826","6.2","94900000"
"177","Hummingbird","68546","6.2","30000"
"178","Paddington 2","66462","7.8","40440000"
"179","Gake no ue no Ponyo","131204","7.7","15090000"
"180","Mechanic: Resurrection","79668","5.7","21220000"
"181","Scary Movie 5","67762","3.5","32020000"
"182","Kill Me Three Times","22359","5.9","20000"
"183","Killers","89080","5.5","47060000"
"184","The Lorax","103009","6.4","214030000"
"185","Alice Through the Looking Glass","98302","6.2","77040000"
"186","Macbeth","54067","6.6","1110000"
"187","The Infiltrator","70858","7","15430000"
"188","Doom","110028","5.2","28210000"
"189","Kaze no tani no Naushika","157520","8.1","500000"
"190","The Last Stand","135448","6.3","12050000"
"191","De rouille et d'os","65455","7.5","2060000"
"192","Young Guns II","33616","6.5","44140000"
"193","Pan","61772","5.7","35090000"
"194","The Iceman","72326","6.8","1940000"
"195","Hannibal Rising","106197","6.2","27670000"
"196","The Day the Earth Stood Still","165900","5.5","79370000"
"197","The Adventures of Sharkboy and Lavagirl 3-D","34853","3.7","39180000"
"198","Taken 2","295140","6.3","139850000"
"199","The Ugly Truth","209052","6.4","88920000"
"200","Sweet Virginia","9324","6.2","10000"
"201","Deliver Us from Evil","73461","6.2","30580000"
"202","The Human Centipede II (Full Sequence)","36912","3.8","120000"
"203","Dead Man Down","65672","6.5","10880000"
"204","Step Up","113232","6.5","65330000"
"205","Child 44","67925","6.5","1210000"
"206","Berlin Syndrome","23476","6.3","30000"
"207","Office Christmas Party","72433","5.9","54770000"
"208","White Girl","10127","5.7","200000"
"209","Mercury Rising","70935","6.1","32939999"
"210","Suburbicon","41867","5.7","5780000"
"211","Better Watch Out","33703","6.5","20000"
"212","Safe","106164","6.5","17140000"
"213","Killerman","4495","5.4","280000"
"214","The Devil's Own","62161","6.2","42870000"
"215","Kaze tachinu","77732","7.8","5210000"
"216","Super Dark Times","20965","6.6","30000"
"217","Zwartboek","74139","7.7","4400000"
"218","See No Evil, Hear No Evil","51788","6.9","46910000"
